# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 30 Mar 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
14.225.205.58	5
14.225.217.138	5
14.225.253.26	5
15.204.58.181	5
18.207.114.178	5
18.215.159.152	5
20.12.240.184	5
20.14.73.1	5
20.14.73.54	5
20.14.75.6	5
20.14.89.71	5
20.14.94.72	5
20.15.162.180	5
20.15.164.37	5
20.15.200.1	5
20.15.201.64	5
20.26.135.100	5
20.29.23.130	5
20.29.47.111	5
20.29.57.212	5
20.29.58.2	5
20.46.226.34	5
20.46.235.162	5
20.46.245.69	5
20.55.73.223	5
20.62.193.105	5
20.64.104.9	5
20.64.104.177	5
20.64.105.32	5
20.64.105.39	5
20.64.105.88	5
20.64.105.146	5
20.64.105.168	5
20.64.105.192	5
20.64.105.242	5
20.64.105.251	5
20.64.105.253	5
20.64.106.71	5
20.65.152.136	5
20.65.193.148	5
20.65.193.254	5
20.65.194.128	5
20.65.194.143	5
20.65.194.183	5
20.65.195.46	5
20.65.195.51	5
20.65.195.113	5
20.80.83.86	5
20.80.88.7	5
20.80.88.167	5
20.80.105.50	5
20.83.27.149	5
20.83.150.79	5
20.83.173.252	5
20.98.137.43	5
20.98.152.33	5
20.105.65.67	5
20.106.196.4	5
20.115.83.250	5
20.119.75.60	5
20.153.204.5	5
20.163.2.80	5
20.163.6.253	5
20.163.10.187	5
20.163.15.141	5
20.163.15.172	5
20.163.32.0	5
20.163.34.74	5
20.163.39.86	5
20.168.12.169	5
20.169.48.134	5
20.169.83.214	5
20.171.8.181	5
20.173.116.24	5
20.193.153.215	5
20.221.68.74	5
23.91.96.70	5
23.91.97.213	5
23.92.216.26	5
23.95.248.48	5
23.129.64.150	5
23.129.64.194	5
23.226.133.133	5
23.249.28.115	5
24.144.91.67	5
24.232.50.5	5
24.249.245.61	5
27.50.25.190	5
27.71.21.70	5
27.72.31.207	5
27.79.190.121	5
27.110.166.67	5
27.112.78.170	5
27.112.78.223	5
27.119.7.6	5
27.128.170.160	5
27.128.175.119	5
27.150.188.148	5
31.6.212.12	5
31.14.32.5	5
31.14.32.6	5
31.14.32.8	5
31.56.211.22	5
31.193.137.190	5
31.220.72.93	5
34.31.33.99	5
34.39.221.164	5
34.69.0.72	5
34.71.30.159	5
34.71.111.34	5
34.78.29.97	5
34.81.72.185	5
34.93.128.179	5
34.94.107.147	5
34.95.197.36	5
34.100.208.229	5
34.121.138.255	5
34.122.129.31	5
34.123.134.194	5
34.124.148.87	5
34.128.77.56	5
34.133.99.235	5
34.135.200.178	5
34.204.10.19	5
34.207.209.130	5
35.200.237.19	5
35.203.210.57	5
35.203.210.59	5
35.203.210.61	5
35.203.210.74	5
35.203.210.92	5
35.203.210.113	5
35.203.210.118	5
35.203.210.121	5
35.203.210.127	5
35.203.210.137	5
35.203.210.143	5
35.203.210.167	5
35.203.210.205	5
35.203.210.239	5
35.203.210.243	5
35.203.211.22	5
35.203.211.65	5
35.203.211.71	5
35.203.211.125	5
35.203.211.135	5
35.203.211.138	5
35.203.211.158	5
35.203.211.171	5
35.203.211.177	5
35.203.211.190	5
35.203.211.200	5
35.203.211.245	5
35.225.56.202	5
35.240.75.51	5
36.26.74.162	5
36.26.82.246	5
36.41.173.197	5
36.50.63.131	5
36.50.177.119	5
36.93.144.67	5
36.93.249.106	5
36.94.2.142	5
36.95.194.53	5
36.95.221.140	5
36.103.222.120	5
36.103.243.179	5
36.104.145.245	5
36.110.172.218	5
36.112.133.74	5
36.138.189.102	5
36.138.202.60	5
36.141.93.74	5
36.189.207.209	5
36.212.31.122	5
36.212.227.224	5
36.255.220.44	5
36.255.220.245	5
37.58.136.133	5
37.59.110.4	5
37.110.113.113	5
37.139.8.32	5
37.143.61.84	5
38.19.156.18	5
38.59.249.50	5
38.65.90.27	5
38.109.112.180	5
38.114.121.110	5
38.137.11.14	5
38.182.109.249	5
38.224.73.139	5
38.253.239.21	5
39.109.113.199	5
39.115.183.206	5
39.117.79.36	5
39.171.240.69	5
39.174.42.18	5
40.80.200.186	5
40.83.182.122	5
40.124.120.41	5
40.124.173.115	5
40.124.174.245	5
40.124.174.247	5
40.124.175.30	5
41.59.229.33	5
41.63.62.103	5
41.82.42.96	5
41.86.34.139	5
41.90.100.147	5
41.111.162.34	5
41.111.172.2	5
41.111.178.165	5
41.128.181.199	5
41.191.229.226	5
41.204.63.118	5
41.216.177.55	5
41.220.144.172	5
41.242.115.83	5
41.242.115.84	5
42.51.32.228	5
42.51.41.137	5
42.51.42.209	5
42.81.4.42	5
42.82.111.232	5
42.96.43.148	5
42.113.162.247	5
42.192.64.74	5
42.200.66.164	5
42.200.78.78	5
42.248.129.234	5
43.110.32.33	5
43.128.149.159	5
43.132.227.251	5
43.133.148.170	5
43.133.174.69	5
43.135.124.152	5
43.138.184.44	5
43.153.34.199	5
43.153.102.228	5
43.153.150.130	5
43.154.195.142	5
43.154.233.209	5
43.155.21.198	5
43.155.40.91	5
43.155.162.150	5
43.156.19.37	5
43.156.64.195	5
43.156.71.43	5
43.157.151.226	5
43.157.202.201	5
43.157.209.93	5
43.158.91.178	5
43.159.177.40	5
43.160.200.19	5
43.160.246.110	5
43.160.255.12	5
43.162.97.123	5
43.162.107.16	5
43.163.107.154	5
43.164.0.104	5
43.164.1.11	5
43.164.1.207	5
43.164.2.111	5
43.164.77.109	5
43.165.3.187	5
43.165.7.75	5
43.165.185.71	5
43.166.136.253	5
43.166.137.151	5
43.166.142.59	5
43.166.156.13	5
43.166.166.157	5
43.166.242.149	5
43.166.245.172	5
43.167.212.236	5
43.167.242.138	5
43.226.40.202	5
43.227.185.238	5
43.228.104.170	5
43.242.203.160	5
43.245.143.215	5
43.247.250.115	5
43.252.231.122	5
45.10.175.17	5
45.12.164.176	5
45.15.226.100	5
45.15.227.120	5
45.17.39.120	5
45.33.14.197	5
45.33.109.8	5
45.43.55.121	5
45.55.97.44	5
45.56.79.53	5
45.61.187.30	5
45.65.233.134	5
45.67.221.161	5
45.78.194.186	5
45.78.198.19	5
45.78.198.158	5
45.78.198.162	5
45.78.198.167	5
45.78.198.177	5
45.78.198.178	5
45.78.198.190	5
45.78.198.204	5
45.78.198.206	5
45.78.198.228	5
45.78.201.248	5
45.78.204.246	5
45.78.206.111	5
45.78.230.231	5
45.78.237.21	5
45.79.115.59	5
45.84.107.33	5
45.84.107.74	5
45.88.223.138	5
45.92.33.82	5
45.93.30.244	5
45.116.78.92	5
45.118.106.51	5
45.119.84.54	5
45.119.85.50	5
45.119.212.99	5
45.120.120.69	5
45.121.147.48	5
45.125.45.236	5
45.129.185.7	5
45.132.19.23	5
45.134.9.27	5
45.137.172.116	5
45.142.154.15	5
45.143.203.239	5
45.144.212.136	5
45.144.233.56	5
45.144.233.139	5
45.148.10.192	5
45.148.10.240	5
45.153.68.215	5
45.156.128.104	5
45.156.128.106	5
45.156.128.179	5
45.161.237.218	5
45.162.8.14	5
45.164.39.253	5
45.169.128.70	5
45.172.153.100	5
45.175.37.29	5
45.178.227.0	5
45.186.251.70	5
45.194.37.246	5
45.194.70.251	5
45.195.221.26	5
45.196.236.141	5
45.205.1.16	5
45.207.221.76	5
45.246.89.171	5
45.249.244.231	5
45.249.246.120	5
45.249.247.86	5
45.249.247.165	5
46.8.68.17	5
46.24.47.94	5
46.26.43.117	5
46.29.238.108	5
46.29.238.171	5
46.30.161.197	5
46.37.66.191	5
46.38.240.13	5
46.59.97.98	5
46.101.36.170	5
46.101.114.131	5
46.188.119.26	5
